,localizacao,tamanho_quartos,valor
133, Maceió - Alagoas , 280 m² construídos | 4 quartos ,1.000.000
134, Maragogi - Alagoas , 250 m² construídos | 3 quartos ,800.000
135, AV. CATUÇABA 64 - Marechal Deodoro - Alagoas , 220 m² construídos | 3 quartos ,340.000
136, Antares - Maceió - Alagoas , 118 m² construídos | 3 quartos ,270.000
137, Verdes Campos - Arapiraca - Alagoas , 250 m² construídos | 5 quartos ,1.250.000
138, Avenida Álvaro Otacílio - Passo de Camaragibe - Alagoas , 93 m² construídos | 2 quartos ,485.000
139," Loteamento vila rica, 08 - Rio Largo - Alagoas ", 78 m² construídos | 1 quarto ,58.190
140, Marechal Deodoro - Alagoas , 420 m² construídos | 2 quartos ,160.000
141, São Miguel dos Milagres - Alagoas , 3 quartos ,360.000
142, Antares - Maceió - Alagoas , 190 m² construídos | 4 quartos ,600.000
143, Gruta de Lourdes - Maceió - Alagoas , 314 m² totais | 3 quartos ,1.200.000
144, praia do Francês- Marechal. 125 - Marechal Deodoro - Alagoas , 95 m² construídos | 2 quartos ,370.000
145, Serraria - Maceió - Alagoas , 300 m² totais | 3 quartos ,650.000
146, Rua Wilson Gama 71 - Maceió - Alagoas , 110 m² construídos | 2 quartos ,120.000
147, Antares - Maceió - Alagoas , 199 m² construídos | 4 quartos ,617.458
148, Marechal Deodoro - Alagoas , 300 m² construídos | 3 quartos ,140.000
149, Barra de São Miguel - Alagoas , 130 m² construídos | 3 quartos ,320.000
150," COND. ALDEBARAN OMEGA, QD C, LOTE 07 07 - Tabuleiro dos Martins - Maceió - Alagoas ", 500 m² construídos | 5 quartos ,2.400.000
151, Rodovia AL-101 Norte - Maceió - Alagoas , 350 m² construídos | 5 quartos ,2.000.000
152," Rua patricia cesario de oliveira, 38 - Craíbas - Alagoas ", 72 m² construídos | 3 quartos ,57.082
153, Rua Em Projeto E - Maceió - Alagoas , 450 m² construídos | 4 quartos ,630.000
154, Antares - Maceió - Alagoas , 324 m² totais | 4 quartos ,950.000
155, Benedito Bentes - Maceió - Alagoas , 92 m² construídos | 3 quartos ,150.000
156, Maceió - Alagoas , 92 m² construídos | 2 quartos ,250.000
157, Rodovia Al 101 Sul - Marechal Deodoro - Alagoas , 250 m² construídos | 4 quartos ,850.000
158," Praça manoel nunes, 65 - Craíbas - Alagoas ", 420 m² construídos | 2 quartos ,149.355
159, Serraria - Maceió - Alagoas , 240 m² totais | 3 quartos ,650.000
160, Avenida Hélio de Castro Vasconcelos - Maceió - Alagoas , 446 m² construídos | 3 quartos ,1.500.000
161, Marechal Deodoro - Alagoas , 3 quartos ,250.000
162, Benedito Bentes - Maceió - Alagoas , 75 m² construídos | 2 quartos ,85.000
163, praia do saco 279 - Marechal Deodoro - Alagoas , 180 m² construídos | 4 quartos ,1.200.000
164, Serraria - Maceió - Alagoas , 3 quartos ,450.000
165, Maceió - Alagoas , 280 m² construídos | 5 quartos ,800.000
166, Antares - Maceió - Alagoas , 232 m² totais | 4 quartos ,700.000
167," Conjunto João Sampaio II, 49 - Benedito Bentes - Maceió - Alagoas ", 92 m² construídos | 3 quartos ,150.000
168, Maceió - Alagoas , 487 m² construídos | 4 quartos ,1.700.000
169," Rua projetada a lt 21 qd a, - Penedo - Alagoas ", 87 m² construídos | 2 quartos ,55.420
170, Antares - Maceió - Alagoas , 154 m² construídos | 4 quartos ,490.000
171, Antares - Maceió - Alagoas , 203 m² construídos | 4 quartos ,632.152
172, Antares - Maceió - Alagoas , 160 m² construídos | 3 quartos ,600.000
173, Barra de São Miguel - Alagoas , 400 m² construídos | 5 quartos ,1.500.000
174," R eng corintho campelo da paz, 2550 - Maceió - Alagoas ", 370 m² construídos | 2 quartos ,400.165
175, Vitória 14 - Tabuleiro dos Martins - Maceió - Alagoas , 90 m² construídos | 2 quartos ,160.000
176, Canaã - Maceió - Alagoas , 2 quartos ,185.000
177," Loteamento Acauã, 20 - Maceió - Alagoas ", 92 m² construídos | 2 quartos ,250.000
178," Rua manoel villanova lopes, 27 - Barra de São Miguel - Alagoas ", 265 m² construídos | 2 quartos ,249.646
179," Travessa praça costa e silva, 32 - Penedo - Alagoas ", 241 m² construídos | 2 quartos ,110.985
180, Avenida General Luiz de França Albuquerque - Maceió - Alagoas , 310 m² construídos | 4 quartos ,1.700.000
181," Rua jose cardoso da silva, 162 - Brasília - Arapiraca - Alagoas ", 58 m² construídos | 3 quartos ,62.662
182, Barra de Santo Antônio - Alagoas , 350 m² totais | 3 quartos ,200.000
183," Rua em projeto e atual dom adelmo machado, 183 - Serraria - Maceió - Alagoas ", 206 m² construídos | 3 quartos ,344.400
184, Marechal Deodoro - Alagoas , 70 m² totais | 2 quartos ,198.800
185," Rua treze de maio, 57000 - Centro - Arapiraca - Alagoas ", 110 m² construídos | 2 quartos ,63.566
186," Rua alcino casado, 57 - Centro - Maceió - Alagoas ", 205 m² construídos | 3 quartos ,270.034
187," Rua prof. regia leonoura alves do santos, 285 - Planalto - Arapiraca - Alagoas ", 68 m² construídos | 2 quartos ,51.438
188, Rua Aratu 197 - Marechal Deodoro - Alagoas , 15 m² construídos | 2 quartos ,150
189," Rua 2-d, 10 - Rio Largo - Alagoas ", 20 m² construídos ,58.086
190, Antares - Maceió - Alagoas , 190 m² construídos | 3 quartos ,540.000
191," Rua do sol antiga rua em projeto, 237 - Marechal Deodoro - Alagoas ", 164 m² construídos ,130.492
192," Rua alvaro marinho, 757 - Prado - Maceió - Alagoas ", 214 m² construídos | 5 quartos ,205.373
193, Benedito Bentes - Maceió - Alagoas , 96 m² construídos | 3 quartos ,92.000
194, Alagoa - Minas Gerais , 400 m² construídos | 5 quartos ,1.280.000
195," Rua sóstens luís caetano cavalcante, 53 - Boa Vista - Arapiraca - Alagoas ", 100 m² construídos | 1 quarto ,96.900
196," Rua projetada 07, 130 - Senador Arnon de Melo - Arapiraca - Alagoas ", 304 m² construídos | 1 quarto ,782.604
197," Av marinita gouveia, 1034 - Marechal Deodoro - Alagoas ", 407 m² construídos | 2 quartos ,490.000
198," Rua antonio cunha linhares bairro gerais, 1674 - Teotônio Vilela - Alagoas ", 225 m² construídos | 3 quartos ,209.971
199," Rua conceicao das alagoas, 85 - Frutal - Minas Gerais ", 190 m² construídos | 3 quartos ,150.518
200," Rua do sol, 237 - Marechal Deodoro - Alagoas ", 71 m² construídos | 2 quartos ,132.104
201," Rua projeta g atual r natalicio domingos santos, 77 - Boa Vista - Arapiraca - Alagoas ", 87 m² construídos | 1 quarto ,67.713
202," Rua projetada 14/162, 57 - Canafístula - Arapiraca - Alagoas ", 118 m² construídos | 2 quartos ,63.178
203," Rua jose vieira de andrade, 02 - Barra de São Miguel - Alagoas ", 108 m² construídos | 3 quartos ,234.081
204," Rua do varadouro iii, 57900 - Porto Calvo - Alagoas ", 172 m² construídos | 2 quartos ,110.530
205," R do cruzeiro (atual r santo cruzeiro), 57150 - Pilar - Alagoas ", 103 m² construídos | 2 quartos ,63.337
206," Cond res são francisco ii, 24 - Rio Largo - Alagoas ", 50 m² construídos | 2 quartos ,58.414
207," Rua claudia, 24 - Rio Largo - Alagoas ", 53 m² construídos | 3 quartos ,51.765
208," Rua 28 em projeto lt-24 qd-a, - Rio Largo - Alagoas ", 148 m² construídos | 4 quartos ,91.085
209, Rua da Praia - Porto de Pedras - Alagoas , 900 m² construídos | 8 quartos ,10.000.000
210," Av teotonio brandao vilela, 245 - Rio Largo - Alagoas ", 128 m² construídos | 3 quartos ,81.038
211," Rua dois em projeto lt 16 a, - Rio Largo - Alagoas ", 67 m² construídos | 2 quartos ,56.652
212," R tancredo de almeida neves, 45 - Batalha - Alagoas ", 243 m² construídos | 2 quartos ,168.101
213," Rua ranufo menezes da silva, 265 - Boa Vista - Arapiraca - Alagoas ", 83 m² construídos | 1 quarto ,57.722
214," Rua em projeto b2 qd c2 lt 15a, - Teotônio Vilela - Alagoas ", 400 m² construídos | 2 quartos ,62.230
215," Rua conceição das alagoas, 475 - Frutal - Minas Gerais ", 180 m² construídos | 3 quartos ,147.599
216," Avenida noe siqueira rocha, 150 - Ouro Branco - Alagoas ", 120 m² construídos | 2 quartos ,73.192
217," Rua proj c lot sao luiz, 00273 - Batalha - Alagoas ", 89 m² construídos | 2 quartos ,51.569
218," Rua josé aloísio brandão vilela, 97 - Teotônio Vilela - Alagoas ", 166 m² construídos | 4 quartos ,57.481
219," Travessa 06 de fevereiro, 21 - Olho d'Água das Flores - Alagoas ", 105 m² construídos | 2 quartos ,76.874
220," R jose monteiro da silva, 619 - Teotônio Vilela - Alagoas ", 144 m² construídos | 1 quarto ,51.318
221," R projetada a, 00171 - Canafístula - Arapiraca - Alagoas ", 88 m² construídos | 1 quarto ,55.173
222," Rua projetada 03, 50 - Pilar - Alagoas ", 150 m² construídos | 2 quartos ,94.832
223," Rua benedito lima, 1330 - Conceição das Alagoas - Minas Gerais ", 92 m² construídos | 3 quartos ,133.076
224," Rua em projeto, 13 - Pilar - Alagoas ", 76 m² construídos | 1 quarto ,57.324
225," Loteamento sao caetano, 23 - Rio Largo - Alagoas ", 54 m² construídos | 2 quartos ,52.953
226," Rua olimpio sapucaia de araújo, 198 - Maribondo - Alagoas ", 139 m² construídos | 2 quartos ,84.999
227," Rua projetada, 240 - Batalha - Alagoas ", 84 m² construídos | 2 quartos ,57.082
228," Av em projeto, 09 - Limoeiro de Anadia - Alagoas ", 88 m² construídos | 2 quartos ,52.649
229," R antonio balbino de souza, 36 - Olho d'Água do Casado - Alagoas ", 211 m² construídos | 3 quartos ,68.000
230," Rua maria cristina da silva estevam, 75 - Senador Arnon de Melo - Arapiraca - Alagoas ", 93 m² construídos | 2 quartos ,62.720
231," Rua joel de gusmao barbosa lt 6 qd h, - Porto Calvo - Alagoas ", 70 m² construídos | 1 quarto ,50.021
232," Rua professora maria bispo dos santos, 495 - Canafístula - Arapiraca - Alagoas ", 77 m² construídos | 1 quarto ,52.649
233," Rua antonio silvestre de goiana, 107 - Viçosa - Alagoas ", 424 m² construídos | 4 quartos ,166.991
234," Rua sonia maria de almeida lopes, 178 - Verdes Campos - Arapiraca - Alagoas ", 192 m² construídos | 2 quartos ,175.066
235," Rua melquiades joão de deus, 68 - Baixa Grande - Arapiraca - Alagoas ", 229 m² construídos ,269.819
236," R projetada 44, 148 - Olho D'Água dos Cazuzinhos - Arapiraca - Alagoas ", 297 m² construídos ,284.510
237," Pista asfaltica, 382 - Passo de Camaragibe - Alagoas ", 297 m² construídos | 4 quartos ,271.340
238," Rua gesse tenório lins, 42 - Murici - Alagoas ", 110 m² construídos | 2 quartos ,76.313
239," Rua joão ferreira de macedo, 105 - Senador Arnon de Melo - Arapiraca - Alagoas ", 126 m² construídos | 2 quartos ,64.000
240, Maceió - Alagoas , 280 m² construídos | 4 quartos ,1.050.000
241," Rua sinesio ferreira lima, 181 - São Luiz - Arapiraca - Alagoas ", 126 m² construídos | 4 quartos ,180.880
242," Rua projetada b, 232 - Limoeiro de Anadia - Alagoas ", 91 m² construídos | 2 quartos ,50.207
243," Rua do cruzeiro, 3 - Pilar - Alagoas ", 103 m² construídos | 2 quartos ,67.267
244," Rua antonio pedro caiapo, 300 - Conceição das Alagoas - Minas Gerais ", 144 m² construídos | 1 quarto ,145.350
245," Rodovia al 115, 57300 - Verdes Campos - Arapiraca - Alagoas ", 5592 m² construídos ,439.280
246, Benedito Bentes - Maceió - Alagoas , 75 m² construídos | 2 quartos ,85.000
247," R projetada 19, 102 - Girau do Ponciano - Alagoas ", 75 m² construídos | 2 quartos ,51.142
248," Rua em projeto 17, 10 - Pilar - Alagoas ", 93 m² construídos | 2 quartos ,53.910
249," Rua projetada 26, 36 - Pilar - Alagoas ", 84 m² construídos | 1 quarto ,57.636
250," Rua ouro branco, 802 - Santa Esmeralda - Arapiraca - Alagoas ", 305 m² construídos | 4 quartos ,360.100
251," Rua antonio macario gomes, 111 - Cajueiro - Alagoas ", 341 m² construídos | 1 quarto ,121.661
252," R margarida albuquerque maia, 46 - Igaci - Alagoas ", 228 m² construídos | 2 quartos ,271.375
253," Rua projetada a, 00241 - Limoeiro de Anadia - Alagoas ", 86 m² construídos | 2 quartos ,50.432
254," Rua projetada, 56 - Pilar - Alagoas ", 122 m² construídos | 2 quartos ,66.338
255," Rua alagoas, 324 - Dores do Indaiá - Minas Gerais ", 125 m² construídos | 3 quartos ,185.402
256," Vila santa rita, 362 - Pilar - Alagoas ", 225 m² construídos ,139.350
257, Verdes Campos - Arapiraca - Alagoas , 320 m² construídos | 4 quartos ,2.100.000
258," R alagoas, 234 - Turu - São Luís - Maranhão ", 234 m² construídos ,380.100
259," R julita lemos palmeira, 660 - Novo Horizonte - Arapiraca - Alagoas ", 319 m² construídos | 3 quartos ,345.800
260," Rua dr emilio de maia, 15 - Rio Largo - Alagoas ", 53 m² construídos | 2 quartos ,55.974
261," R ne firmino, 235 - Planalto - Arapiraca - Alagoas ", 69 m² construídos | 1 quarto ,109.380
262," R chã preta - nossa sra da saude, 12 - Piranhas - Alagoas ", 95 m² construídos | 2 quartos ,74.406
263," Avenida miguel correia de amorim, 1397 - Manoel Teles - Arapiraca - Alagoas ", 210 m² construídos | 1 quarto ,155.040
264," Lot armando tenório lins i, 01 - Boca da Mata - Alagoas ", 120 m² construídos | 2 quartos ,90.394
265," Rua antonio serafim costa, 52 - Pilar - Alagoas ", 72 m² construídos | 2 quartos ,55.974
266," Rua projetada a, 229 - Boa Vista - Arapiraca - Alagoas ", 109 m² construídos | 2 quartos ,85.536
267," Rua existente, 71 - Boa Vista - Arapiraca - Alagoas ", 82 m² construídos | 2 quartos ,53.678
268," R deputado cleto marques luz, 313 - São Luiz - Arapiraca - Alagoas ", 174 m² construídos | 3 quartos ,203.545
269," Rua jose luis de melo, 65 - Batalha - Alagoas ", 83 m² construídos | 2 quartos ,50.709
270," Lote 18 b quadra f, 57100 - Rio Largo - Alagoas ", 71 m² construídos | 3 quartos ,55.420
271," Rua projetada 04, 83 - Girau do Ponciano - Alagoas ", 82 m² construídos | 2 quartos ,54.311
272," Rua 10, 126 - Senador Arnon de Melo - Arapiraca - Alagoas ", 93 m² construídos | 2 quartos ,64.287
273," Rua senhor do bonfim, 48 - Pilar - Alagoas ", 73 m² construídos | 3 quartos ,54.046
274," Rua projetada f, 63 - Boa Vista - Arapiraca - Alagoas ", 99 m² construídos | 2 quartos ,62.903
275," Rua antônio saturnino de almeida, 87 - Boa Vista - Arapiraca - Alagoas ", 84 m² construídos | 2 quartos ,59.855
276," R sebastião luiz pereira, 247 - São Luiz - Arapiraca - Alagoas ", 244 m² construídos | 3 quartos ,266.798
277," Rua projetada, 90 - Brasiliana - Arapiraca - Alagoas ", 125 m² construídos | 2 quartos ,71.060
278," Rua manoel gomes da silva, 40 - Boa Vista - Arapiraca - Alagoas ", 90 m² construídos | 2 quartos ,64.841
279," Rua senhor do bonfim, 58 - Pilar - Alagoas ", 73 m² construídos | 3 quartos ,52.136
280," Rua projetada b, 201 - Limoeiro de Anadia - Alagoas ", 86 m² construídos | 2 quartos ,52.926
281," Rua projetada, 49 - Batalha - Alagoas ", 107 m² construídos | 2 quartos ,80.048
282," Lot portal dos gregorios qd kk, - Satuba - Alagoas ", 240 m² construídos | 4 quartos ,460.982
283," R boa sorte, 193 - Primavera - Arapiraca - Alagoas ", 180 m² construídos | 2 quartos ,156.784
284," Tv benedito lopes de gusmão, 89 - Pilar - Alagoas ", 290 m² construídos | 1 quarto ,119.438
285," Rua josé monteiro de melo, 14 - Rio Largo - Alagoas ", 55 m² construídos | 1 quarto ,50.432
