,tamanho,quartos,valor,tipo_area,preco
1061,90,3,429900,2,1
1071,90,2,250000,2,1
1173,90,2,129000,2,0
1211,90,3,530000,2,2
1213,90,3,390000,2,1
1266,90,2,300000,2,1
1269,90,3,400000,2,1
1356,90,2,200000,2,0
1379,90,3,220000,2,1
1403,90,2,199900,2,0
1428,90,3,300000,2,1
1518,90,3,345000,2,1
1522,90,3,400000,2,1
1678,90,1,195000,2,0
1683,90,3,215000,2,1
1790,90,3,215000,2,1
1838,90,2,325000,2,1
1846,90,2,400000,2,1
37,92,2,350000,2,1
1312,92,2,199000,2,0
1380,92,3,420000,2,1
1660,92,1,770,2,0
1387,93,2,199000,2,0
1492,93,2,165000,2,0
1789,93,3,530000,2,2
1765,94,3,530000,2,2
1028,95,3,480000,2,2
1107,95,3,280000,2,1
1333,95,2,360000,2,1
1803,95,3,800000,2,3
1891,95,2,400000,2,1
422,96,2,230000,2,0
1025,96,3,270000,2,1
1048,96,3,270000,2,1
1457,96,3,580000,2,2
389,97,1,2060,2,0
520,97,3,2000,2,0
797,97,3,2200,2,0
825,97,3,280000,2,1
984,97,2,390000,2,1
1275,97,3,450000,2,1
1318,97,2,275000,2,1
1576,97,2,300000,2,1
911,98,2,210000,2,0
912,98,2,210000,2,0
1349,98,3,360000,2,1
1370,98,2,300000,2,1
1557,98,3,335000,2,1
740,99,2,249900,2,1
1309,99,2,247000,2,0
1756,99,3,480000,2,1
29,100,4,420000,2,2
138,100,3,160000,2,0
210,100,2,300000,2,1
218,100,2,330000,2,1
237,100,2,2000,2,0
243,100,2,220000,2,0
310,100,2,900,2,0
324,100,2,4000,2,0
327,100,2,1500,2,0
562,100,3,600,2,0
566,100,1,180000,2,0
588,100,3,250000,2,1
589,100,2,220000,2,0
596,100,3,400,2,0
620,100,2,210000,2,0
641,100,2,250,2,0
716,100,3,120000,2,0
718,100,3,630000,2,2
727,100,2,140000,2,0
747,100,2,380000,2,1
774,100,2,170000,2,0
803,100,3,330000,2,1
830,100,2,225000,2,0
837,100,2,380000,2,1
843,100,3,539900,2,2
878,100,2,425000,2,1
940,100,2,330000,2,1
962,100,2,240000,2,0
1003,100,3,540000,2,2
1130,100,1,420000,2,0
1165,100,2,275000,2,1
1263,100,2,235000,2,0
1352,100,2,399000,2,1
1386,100,2,299000,2,1
1407,100,3,530000,2,2
1441,100,3,450000,2,1
1449,100,2,145000,2,0
1466,100,3,240003,2,1
1489,100,3,450000,2,1
1541,100,3,385000,2,1
1580,100,3,450000,2,1
1585,100,2,300000,2,1
1618,100,3,480000,2,1
1648,100,2,200,2,0
1679,100,2,480000,2,1
1841,100,3,450000,2,1
1909,100,2,2000,2,0
53,101,1,980000,2,1
928,101,2,350000,2,1
719,102,3,535000,2,2
1340,102,2,295000,2,1
1776,102,2,480000,2,1
116,103,2,280000,2,1
460,104,3,1600,2,0
684,104,3,265000,2,1
162,105,3,549000,2,2
164,105,3,519000,2,1
458,105,3,330000,2,1
1233,105,2,235000,2,0
1236,105,3,650000,2,2
1490,105,3,549500,2,2
1866,105,3,535000,2,2
72,106,3,510000,2,1
847,106,3,325000,2,1
1027,106,4,290000,2,1
1485,106,3,320000,2,1
1798,106,2,550000,2,1
1005,107,3,1970,2,0
1271,107,3,460000,2,1
1655,107,4,450000,2,2
802,108,2,320000,2,1
885,108,3,499000,2,1
1171,108,3,500000,2,1
1240,108,3,398000,2,1
1849,108,4,650000,2,2
1890,108,2,215000,2,0
651,109,3,285000,2,1
39,110,2,1200,2,0
280,110,2,1940,2,0
315,110,2,2300,2,0
323,110,2,2280,2,0
354,110,2,3500,2,0
373,110,2,1900,2,0
381,110,2,3500,2,0
537,110,3,400,2,0
793,110,3,300000,2,1
842,110,3,270000,2,1
1049,110,2,420000,2,1
1128,110,2,350000,2,1
1511,110,2,390000,2,1
1567,110,3,195000,2,1
1637,110,3,220000,2,1
1644,110,4,420000,2,2
1843,110,3,450000,2,1
1845,110,2,480000,2,1
1859,110,3,500000,2,1
1908,110,2,370000,2,1
1155,111,2,370000,2,1
1779,111,3,510000,2,1
358,112,2,1300,2,0
864,112,2,240000,2,0
910,112,2,360000,2,1
1167,112,3,350000,2,1
1289,112,2,650000,2,1
1361,112,2,320000,2,1
1468,112,3,530000,2,1
1568,112,3,550000,2,1
960,113,2,1900,2,0
1095,113,2,450000,2,1
1348,113,3,280000,2,1
1368,113,2,350000,2,1
1524,113,2,350000,2,1
1575,113,2,350000,2,1
1763,113,3,575000,2,2
345,114,1,2300,2,0
686,114,3,250000,2,1
989,114,3,520000,2,1
1389,114,2,350000,2,1
245,115,2,1416,2,0
557,115,2,265000,2,0
813,115,3,320000,2,1
839,115,3,410000,2,1
861,115,3,350,2,0
1372,115,2,600000,2,1
1388,115,3,320000,2,1
1566,115,3,360000,2,1
775,116,3,470000,2,1
1399,116,2,175000,2,0
175,117,3,569000,2,1
306,117,2,4000,2,0
1498,117,3,4000,2,0
1601,117,2,250000,2,0
1412,118,2,460000,2,1
