,localizacao,tamanho_quartos,valor
91, Chácara Moinho Velho - Carapicuíba - São Paulo , 538 m² construídos | 4 quartos ,2.399.000
92, Avenida das Araras - Independência - São Bernardo do Campo - São Paulo , 397 m² construídos | 4 quartos ,1.200.000
93, Praia Grande - São Paulo , 80 m² construídos | 2 quartos ,230.000
94, Parque Santa Isabel - Sorocaba - São Paulo , 300 m² construídos | 2 quartos ,1.800.000
95, Parque Reserva Fazenda Imperial - Sorocaba - São Paulo , 350 m² construídos | 3 quartos ,1.600.000
96, Alphaville Nova Esplanada - Votorantim - São Paulo , 362 m² construídos | 4 quartos ,2.700.000
97, Vila Americana - São Paulo Zona Leste - São Paulo , 250 m² construídos | 4 quartos ,505.000
98, Linda Casa na Orla da Lagoa da Pampulha 1 - Braúnas - Belo Horizonte - Minas Gerais , 294 m² construídos | 7 quartos ,2.800.000
99, Rua Marginal 3987 - Estancia De Santa Cruz - Itanhaém - São Paulo , 308 m² construídos | 3 quartos ,180.000
100," Rua dos Antúrios, - Cajamar - São Paulo ", 230 m² construídos | 3 quartos ,690.000
101, Nova Ribeirânia - Ribeirão Preto - São Paulo , 184 m² construídos | 3 quartos ,580.000
102, Rua Alegrete - Niterói - Canoas - Rio Grande do Sul , 90 m² construídos | 2 quartos ,1.080
103, Rua Gino Guazzelli - Baeta Neves - São Bernardo do Campo - São Paulo , 299 m² construídos | 4 quartos ,750.000
104, Itapeva - Votorantim - São Paulo , 360 m² construídos | 3 quartos ,2.000.000
105, Vila Valqueire - Rio de Janeiro Zona Oeste - Rio de Janeiro , 85 m² construídos | 3 quartos ,550.000
106, Brás - São Paulo Centro - São Paulo , 66 m² construídos | 3 quartos ,375.000
107, Praia Grande - São Paulo , 54 m² construídos | 2 quartos ,150.000
108, Cidade Ocian - Praia Grande - São Paulo , 70 m² construídos | 2 quartos ,200.000
109, Búzios - Rio de Janeiro , 220 m² construídos | 4 quartos ,1.500.000
110, Jardim Bom Pastor - Jardim Bom Pastor - Santo André - São Paulo , 300 m² construídos | 3 quartos ,800.000
111, Rua José Mendes Júnior - Vila Matilde - São Paulo Zona Leste - São Paulo , 180 m² construídos | 3 quartos ,980.000
112, Portal dos Gramados - Guarulhos - São Paulo , 127 m² construídos | 3 quartos ,648.000
113, Itanhaém - São Paulo , 141 m² construídos | 3 quartos ,250.000
114, Rua Eiffel - Indaiatuba - São Paulo , 410 m² construídos | 4 quartos ,2.700.000
115," ORQUIDEA, R - Atibaia - São Paulo ", 800 m² totais ,1.600.000
116, Vila Pires - Santo André - São Paulo , 103 m² construídos | 2 quartos ,280.000
117, Rua Marginal 4999 - Jardim Das Palmeiras - Itanhaém - São Paulo , 74 m² construídos | 2 quartos ,80.000
118, Itanhaém - São Paulo , 60 m² construídos | 2 quartos ,272.000
119, Avenida Doutor José Pagano Brundo - Vila Pagano - Valinhos - São Paulo , 70 m² construídos | 2 quartos ,1.600
120," CAMINHO DO PILAR, R - Vila Gilda - Santo André - São Paulo ", 270 m² totais | 2 quartos ,1.800
121, Praia Grande - São Paulo , 60 m² construídos | 2 quartos ,210.000
122, Búzios - Rio de Janeiro , 200 m² construídos | 4 quartos ,950.000
123," Alameda Traíra, - Alphaville - Santana de Parnaíba - São Paulo ", 444 m² construídos | 4 quartos ,1.500.000
124, Parque Erasmo Assunçao - Parque Erasmo Assunção - Santo André - São Paulo , 146 m² construídos | 4 quartos ,510.000
125, Itanhaém - São Paulo , 60 m² construídos | 2 quartos ,310.000
126, AV. SOROCABANA 1300 - Jardim Califórnia - Itanhaém - São Paulo , 120 m² construídos | 2 quartos ,350.000
