,localizacao,tamanho_quartos,valor
921, Jundiapeba - Mogi das Cruzes - São Paulo , 63 m² construídos | 2 quartos ,210.000
922, Canto Do Forte - Praia Grande - São Paulo , 217 m² totais | 4 quartos ,1.350.000
923," Avenida Pereira da Silva, 1603 - Jardim Santa Rosalia - Sorocaba - São Paulo ", 138 m² construídos | 1 quarto ,3.500
924, Rua Stela Costa - Jardim Duprat - São Paulo Zona Oeste - São Paulo , 120 m² construídos | 2 quartos ,170.000
925, 3357 - Sobrado Em Condomínio Fechado 2 Dormitórios Mongaguá 1 - Atlantica - Mongaguá - São Paulo , 69 m² construídos | 2 quartos ,195.000
926, Rodovia dos Andradas - Jardim Pacaembu - Valinhos - São Paulo , 340 m² construídos | 4 quartos ,1.190.000
927, Av. Monteiro lobato 11500 - Balneario Itaguai - Mongaguá - São Paulo , 55 m² construídos | 1 quarto ,47.000
928," Rua Altair Mateo, 53 - Jardim Residencial Villa Amato - Sorocaba - São Paulo ", 101 m² construídos | 2 quartos ,350.000
929, Avenida Benedicto Castilho de Andrade - Parque Residencial Eloy Chaves - Jundiaí - São Paulo , 245 m² construídos | 3 quartos ,990.000
930, Código 5587G 0 - Balneário Gaivota - Itanhaém - São Paulo , 150 m² construídos | 3 quartos ,130.000
931, ATIBAIA 2020 - Jardim Jaragua - Atibaia - São Paulo , 330 m² construídos | 4 quartos ,980.000
932, Sítio Do Campo - Praia Grande - São Paulo , 110 m² totais | 2 quartos ,270.000
933, Caraúna 290 - Campo Grande - Rio de Janeiro Zona Oeste - Rio de Janeiro , 120 m² construídos | 3 quartos ,330
934, Tubarão 246 - Bombinhas - Santa Catarina , 150 m² construídos | 3 quartos ,600
935, Centro - Ibiúna - São Paulo , 1000 m² totais | 3 quartos ,550.000
936, estrada municipal 21 21 - Dona Catarina - Mairinque - São Paulo , 1000 m² construídos | 5 quartos ,330.000
937, Itanhaém - São Paulo , 62 m² construídos | 2 quartos ,253.000
938, Paisagem Renoir - Cotia - São Paulo , 63 m² construídos | 2 quartos ,254.000
939, Rua das Cavas - Vila Santa Catarina - São Paulo Zona Sul - São Paulo , 89 m² construídos | 2 quartos ,350.000
940, Rua Dos Butias - Itanhaém - São Paulo , 100 m² construídos | 2 quartos ,330.000
941, Vila Alto de Santo André - Santo André - São Paulo , 66 m² construídos | 2 quartos ,298.000
942, Avenida Professor Pedro Clarismundo Fornari - Engordadouro - Jundiaí - São Paulo , 351 m² construídos | 4 quartos ,1.850.000
943, Ubatuba - São Paulo , 264 m² construídos | 5 quartos ,2.200.000
944, Ubatuba - São Paulo , 280 m² construídos | 6 quartos ,3.800.000
945, Rua Antônio da Quinta - Guarujá - São Paulo , 85 m² construídos | 2 quartos ,299.000
946, Av: Marginal Dois 11464 - Jardim Palmeiras - Itanhaém - São Paulo , 62 m² construídos | 2 quartos ,240.000
947, 2982- CASA DE ESQUINA ! ACEITA FINANC. BANC !!! APROVEITE ...!!! 1 - Itaoca - Mongaguá - São Paulo , 90 m² construídos | 2 quartos ,190.000
948, Extensão Do Bosque - Rio das Ostras - Rio de Janeiro , 340 m² construídos | 4 quartos ,1.390.000
949, Rua José Dias Donadelli - Alves Dias - São Bernardo do Campo - São Paulo , 269 m² totais | 3 quartos ,470.000
950, Alameda Tutóia - Gopouva - Guarulhos - São Paulo , 50 m² construídos | 1 quarto ,800
951, Rua Manoel Barbosa 110 - Perequê Açu - Ubatuba - São Paulo , 200 m² construídos | 4 quartos ,12.500
952, Avenida Piracicaba - Barueri - São Paulo , 1100 m² construídos | 4 quartos ,11.990.000
953, Rua Paraguai - Parque das Nações - Santo André - São Paulo , 146 m² construídos | 3 quartos ,609.000
954, Avenida Pedro Machado - Mogi Moderno - Mogi das Cruzes - São Paulo , 65 m² construídos | 2 quartos ,229.000
955, Estrada Tenente Faustino 156 - Vila Silviânia - Carapicuíba - São Paulo , 170 m² construídos | 3 quartos ,300.000
956, Rosalia Ferraro 286 - Jardim Suarão - Itanhaém - São Paulo , 80 m² construídos | 3 quartos ,220.000
957, ESTRADA MUNICIPAL 66 - Palmeiras - Juquitiba - São Paulo , 3500 m² construídos | 02 quartos ,130.000
958, Rio das Ostras - Rio de Janeiro , 360 m² construídos | 3 quartos ,680.000
959, Anhangabau - Jundiaí - São Paulo , 100 m² totais | 2 quartos ,1.900
960, Rua Manoel João da Silva 115 - Jardim Ester Yolanda - São Paulo Zona Oeste - São Paulo , 113 m² construídos | 2 quartos ,1.900
961, HERMES 230 - Papagaio - Feira de Santana - Bahia , 200 m² construídos | 3 quartos ,270.000
962, Quietude - Praia Grande - São Paulo , 100 m² construídos | 2 quartos ,240.000
963, Rua Paiquere - Jardim Paiquerê - Valinhos - São Paulo , 330 m² construídos | 3 quartos ,1.800.000
964, Praia Grande - São Paulo , 228 m² construídos | 2 quartos ,419.000
965, Embaré - Santos - São Paulo , 140 m² construídos | 3 quartos ,799.000
966, Santo André - São Paulo , 75 m² construídos | 2 quartos ,270.000
967," Rua Professor Rubens Oscar Guelli, 379 - Eldorado - Diadema - São Paulo ", 25 m² construídos | 1 quarto ,450
968, Avenida Yojiro Takaoka - Alphaville - Santana de Parnaíba - São Paulo , 2300 m² construídos | 8 quartos ,80.000
969, RUA SERRA DO CAPARAÓ - Indaiatuba - São Paulo , 163 m² construídos | 3 quartos ,650.000
970, Jardim do Engenho - Cotia - São Paulo , 124 m² construídos | 3 quartos ,417.000
971, RUA CANÁRIO - Vila Avaí - Indaiatuba - São Paulo , 120 m² construídos | 3 quartos ,345.000
972, Rua Jorge Jahnel - Jundiaí - São Paulo , 395 m² construídos | 4 quartos ,1.900.000
973, Centro - Embu das Artes - São Paulo , 160 m² construídos | 3 quartos ,2.490
974, Alameda Espanha - Barueri - São Paulo , 750 m² construídos | 4 quartos ,6.300.000
975, Jardim Mônaco - Hortolândia/SP - Hortolândia - São Paulo , 250 m² totais | 3 quartos ,660.000
976, Rua Héllio Nemer - Parque dos Príncipes - São Paulo Zona Oeste - São Paulo , 576 m² construídos | 4 quartos ,2.100.000
977, Praia Grande - São Paulo , 75 m² construídos | 2 quartos ,300.000
978, Itaquera - São Paulo Zona Leste - São Paulo , 200 m² construídos | 3 quartos ,600.000
979, Condomínio Reservatto Residenziale - Engordadouro - Jundiaí - São Paulo , 133 m² construídos | 3 quartos ,740.000
980, RUA MACHADO DE ASSIS - Centro - Osasco - São Paulo , 135 m² construídos | 2 quartos ,530.000
981, Rua Capitão Américo Duarte - Palos Verdes - Carapicuíba - São Paulo , 850 m² construídos | 4 quartos ,3.900.000
982, Jardim Eucalíptos - Sorocaba - São Paulo , 37 m² construídos | 1 quarto ,125.000
983," avenida são paulo (esquina com a lanchonete ),n 25 27 - Centro - Mongaguá - São Paulo ", 300 m² construídos | 2 quartos ,350
984, Jardim Rina - Santo André - São Paulo , 97 m² construídos | 2 quartos ,390.000
985, Sargento Pedro dos Santos 303 - Itaquera - São Paulo Zona Leste - São Paulo , 80 m² construídos | 2 quartos ,340.000
986, Rua Androcles - Curicica - Rio de Janeiro Zona Oeste - Rio de Janeiro , 184 m² construídos | 3 quartos ,700.000
987, Itanhaém - São Paulo , 2 quartos ,160.000
988, Peruíbe - São Paulo , 120 m² construídos | 2 quartos ,275.000
989, Estrada Padre Roser* - Vila da Penha - Rio de Janeiro Zona Norte - Rio de Janeiro , 114 m² construídos | 3 quartos ,520.000
990, Rua Miracema - Jardim Mariléa - Rio das Ostras - Rio de Janeiro , 70 m² construídos | 2 quartos ,260.000
991, Estrada do Côco km 5500 - Lauro de Freitas - Bahia , 400 m² construídos | 4 quartos ,1.420.000
992, Mata de São João - Bahia , 375 m² construídos | 4 quartos ,1.150.000
993, Jardim São Sebastião - Hortolândia - São Paulo , 250 m² construídos | 2 quartos ,317.000
994, Estrada Joaquim Cardoso 0 - Jardim Elisa - Itapecerica da Serra - São Paulo , 130 m² construídos | 3 quartos ,385.000
995, Rua Orestes Barbosa - Jardim Paraventi - Guarulhos - São Paulo , 300 m² construídos | 4 quartos ,910.000
996, São João do Rio Vermelho - Florianópolis - Santa Catarina , 47 m² construídos | 1 quarto ,96.000
997, Jardim Celani - Salto - São Paulo , 155 m² construídos | 3 quartos ,790.000
998, Rodovia Dom Gabriel Paulino Bueno Couto - Medeiros - Reserva Da Serra - Jundiaí - São Paulo , 300 m² construídos | 4 quartos ,1.250.000
999, Centro - Mogi das Cruzes - São Paulo , 358 m² construídos | 3 quartos ,3.200.000
1000, Rua imbiras SN - Vila Mazzei - São Paulo Zona Norte - São Paulo , 215 m² construídos | 3 quartos ,530.000
1001, Mongaguá - São Paulo , 3 quartos ,280.000
1002, Peruíbe - São Paulo , 65 m² construídos | 2 quartos ,174.000
1003, Portal dos Gramados - Guarulhos - São Paulo , 100 m² construídos | 3 quartos ,540.000
1004, Ingleses do Rio Vermelho - Florianópolis - Santa Catarina , 400 m² construídos | 6 quartos ,773.800
1005, Escritório Imobiliário Roberto Lorenzato 115 - Parque Turistico - Peruíbe - São Paulo , 107 m² construídos | 3 quartos ,1.970
1006, Escritório Imobiliário Roberto Lorenzato 115 - Jardim Icaraiba - Peruíbe - São Paulo , 158 m² construídos | 4 quartos ,690.000
1007, Do Manifesto 1822 - Ipiranga - São Paulo Zona Sul - São Paulo , 60 m² construídos | 2 quartos ,1.600
1008, Pinaceas 136 - Pirituba - São Paulo Zona Oeste - São Paulo , 127 m² construídos | 2 quartos ,390.000
1009, rua das jaranas 105 - Balneário Praia Do Pernambuco - Guarujá - São Paulo , 250 m² construídos | 3 quartos ,549.990
1010, Rua Presidente Venceslau Braz - Parque São Vicente - Mauá - São Paulo , 125 m² construídos | 3 quartos ,365.000
1011, Sítio Do Campo - Praia Grande - São Paulo , 55 m² construídos | 2 quartos ,220.000
1012, Parque Residencial Jaguari - Americana - São Paulo , 137 m² construídos | 3 quartos ,430.000
1013, VEREADOR ALCIDES DONADELLI 790 - Parque Balneario Oasis - Peruíbe - São Paulo , 146 m² construídos | 3 quartos ,490.000
1014, Parque das Nações - Santo André - São Paulo , 90 m² construídos | 2 quartos ,375.000
1015," Rua Joao De Sa, 611 - Metalúrgicos - Osasco - São Paulo ", 125 m² construídos | 2 quartos ,390.000
1016, Campo Grande - Rio de Janeiro Zona Oeste - Rio de Janeiro , 76 m² construídos | 2 quartos ,230.000
1017, R JOAO MARIA CORREIA 513 - Cascavel - Paraná , 135 m² construídos ,1.387.539.295
1018, Lado Praia Rua Asfaltada Moradores Comercio proximo 226 - Balneario Suarão - Itanhaém - São Paulo , 68 m² construídos | 2 quartos ,279.000
1019, Brito 0 - Campo Grande - Rio de Janeiro Zona Oeste - Rio de Janeiro , 60 m² construídos | 2 quartos ,1.000
1020, Avenida Piraíba - Barueri - São Paulo , 310 m² construídos | 3 quartos ,2.100.000
1021," Rua Laura Sfasciotti Bernardi, 682 - Santa Maria - Osasco - São Paulo ", 70 m² construídos | 2 quartos ,1.300
1022, ch213 Sobrado a 30m da praia 4 dormitórios sala ampla area de lazer com gramado e churrasqueira mesanino com varanda panoramica 213 - Balneario Campos Eliseos - Itanhaém - São Paulo , 200 m² construídos | 3 quartos ,450.000
1023, Jardim Itália - Jundiaí - São Paulo , 270 m² construídos | 3 quartos ,720.000
1024, Estrada Do Capuava - Paisagem Renoir - Cotia - São Paulo , 321 m² construídos | 3 quartos ,1.980.000
1025, Vargem Grande Paulista - São Paulo , 96 m² construídos | 3 quartos ,270.000
1026, Conceição - Diadema - São Paulo , 35 m² construídos | 1 quarto ,650
1027, Jardim Castanheira - São José dos Campos - São Paulo , 106 m² construídos | 4 quartos ,290.000
1028, Jardim Santa Clara - Guarulhos - São Paulo , 95 m² construídos | 3 quartos ,480.000
1029, avenida joao roberto correiaavenida joao roberto correia - Vila Sonia - Praia Grande - São Paulo , 64 m² construídos | 2 quartos ,140.000
1030, Alameda Terras Altas - Tamboré - Santana de Parnaíba - São Paulo , 730 m² construídos | 4 quartos ,6.500.000
1031, verrisimo da silva 385 - Parque do Carmo - São Paulo Zona Leste - São Paulo , 248 m² construídos | 3 quartos ,745.000
1032, Jardim Avelino - São Paulo Zona Leste - São Paulo , 230 m² construídos | 3 quartos ,1.270.000
1033, Rua Jardelina de Almeida Lopes - Parque Santana - Mogi das Cruzes - São Paulo , 128 m² construídos | 3 quartos ,3.500
1034, Jaçanã - São Paulo Zona Norte - São Paulo , 74 m² construídos | 2 quartos ,399.000
1035, Rua do Comércio 25 - Ibiuna - Ibiúna - São Paulo , 150 m² construídos | 5 quartos ,270.000
1036, Rua Geraldo Machado 49 - Centro - Juquitiba - São Paulo , 14960 m² construídos | 3 quartos ,495.000
1037, Código 5641G 0 - Belas Artes - Itanhaém - São Paulo , 60 m² construídos | 2 quartos ,140.000
1038, Rua Cabo João Teruel Fregoni - Ponte Grande - Guarulhos - São Paulo , 260 m² construídos | 4 quartos ,3.600
1039, Ubatuba - São Paulo , 240 m² construídos | 4 quartos ,1.600.000
1040, Avenida Fernando Stecca - Iporanga - Sorocaba - São Paulo , 160 m² construídos | 3 quartos ,682.000
1041, Itanhaém - São Paulo , 120 m² construídos | 3 quartos ,498.000
1042, Avenida Monteiro Lobato 10374 - Agenor De Campos - Mongaguá - São Paulo , 60 m² construídos | 1 quarto ,190.000
1043, R ODONTOLOGIA 1466 - Universitário - Cascavel - Paraná , 216 m² construídos | 3 quartos ,280.000
1044, Alameda Terras Altas - Tamboré - Santana de Parnaíba - São Paulo , 1000 m² construídos | 5 quartos ,8.480.000
1045, Avenida St Remy de Provence - Tamboré - Santana de Parnaíba - São Paulo , 700 m² construídos | 5 quartos ,5.000.000
1046, Canto Do Forte - Praia Grande - São Paulo , 220 m² construídos | 3 quartos ,900.000
1047, Dom Valverde 43 - Ipiranga - São Paulo Zona Sul - São Paulo , 60 m² construídos | 2 quartos ,1.700
1048, Governador Mário Covas Jr. 2966 - Mongaguá - São Paulo , 96 m² construídos | 3 quartos ,270.000
1049, Chácara Planalto - Jundiaí - São Paulo , 110 m² construídos | 2 quartos ,420.000
1050, Alameda Peroba - Jardim Do Golf I - Jandira - São Paulo , 301 m² construídos | 4 quartos ,980.000
1051, Avenida Corporação Musical União dos Artistas - Condomínio Terras De São José - Itu - São Paulo , 880 m² construídos | 5 quartos ,3.000.000
1052, RUA BONINAS - Jardim Das Flores - Osasco - São Paulo , 250 m² construídos | 3 quartos ,525.000
1053, Vinte e quatro de fevereiro 488 - Casa Branca - Santo André - São Paulo , 63 m² construídos | 2 quartos ,340.000
1054, 3674 - Casa Isolada 2 Dormitórios 4 Vagas De Garagem 3 - Vila Oceanopolis - Mongaguá - São Paulo , 82 m² construídos | 2 quartos ,95.000
1055, Vila Valqueire - Rio de Janeiro Zona Oeste - Rio de Janeiro , 121 m² construídos | 3 quartos ,850.000
1056, Vila Valqueire - Rio de Janeiro Zona Oeste - Rio de Janeiro , 121 m² construídos | 3 quartos ,850.000
1057, Estrada do Oura - Ipelândia - Suzano - São Paulo , 200 m² construídos | 3 quartos ,750.000
1058, Alameda das Corujas 131 - Condomínio Vale do Ouro - Ribeirão das Neves - Minas Gerais , 600 ha construídos | 7 quartos ,890.000
1059, ENDEREÇO DA IMOBILIÁRIA Presidente kennedy 12805 - Vila Caicara - Praia Grande - São Paulo , 40 m² construídos | 1 quarto ,130.000
1060," Badejo, antiga Rua 5. 5 - Unamar - Cabo Frio - Rio De Janeiro ", 120 m² construídos | 4 quartos ,280
1061, Rua Embiruçú - Vila Beatriz - São Paulo Zona Oeste - São Paulo , 90 m² construídos | 3 quartos ,429.900
1062, Novo Cambuí - Hortolândia/SP - Hortolândia - São Paulo , 125 m² construídos | 3 quartos ,275.000
1063, Vila Flora - Hortolândia/SP - Hortolândia - São Paulo , 122 m² construídos | 3 quartos ,419.800
1064, Avenida Nereu Ramos - Itapema - Santa Catarina , 200 m² construídos | 4 quartos ,1.200.000
1065, Alameda Terras Altas - Tamboré - Santana de Parnaíba - São Paulo , 600 m² construídos | 4 quartos ,3.500.000
1066, Avenida Yojiro Takaoka - Alphaville - Santana de Parnaíba - São Paulo , 800 m² construídos | 5 quartos ,9.500.000
1067, RUA AGOSTINHO NAVARRO - Conceição - Osasco - São Paulo , 240 m² construídos | 3 quartos ,490.000
1068, Residencial Fazenda Serrinha - Itatiba - São Paulo , 300 m² totais | 4 quartos ,954.000
1069, Centro - Ibiúna - São Paulo , 10400 m² totais | 6 quartos ,1.550.000
1070, Rua Vera - Vila Granada - São Paulo Zona Leste - São Paulo , 35 m² construídos | 2 quartos ,189.000
1071, Av. Monteiro lobato 11500 - Balneario Itaguai - Mongaguá - São Paulo , 90 m² construídos | 2 quartos ,250.000
1072, Presidente Prudente - São Paulo , 256 m² construídos | 3 quartos ,380.000
1073, Avenida Yojiro Takaoka - Alphaville - Santana de Parnaíba - São Paulo , 1600 m² construídos | 5 quartos ,12.000.000
1074, Jd Suarão - Itanhaém/SP - Itanhaém - São Paulo , 130 m² construídos | 2 quartos ,249.000
1075, Jardim Roberto - Osasco - São Paulo , 260 m² construídos | 3 quartos ,580.000
1076," Casa 2 qtos, suite, 2 gar etc R$ 2450000 - Vila Caicara - Praia Grande - São Paulo ", 75 m² construídos | 2 quartos ,245.000
1077, Avenida Venturosa - Jardim Cumbica - Guarulhos - São Paulo , 67 m² construídos | 2 quartos ,373.000
1078, Av presidente Kennedy 12805 - Vila Caicara - Praia Grande - São Paulo , 157 m² construídos | 3 quartos ,690.000
1079, R. Araribá 100 - Enseada - Guarujá - São Paulo , 300 m² construídos | 3 quartos ,54.000
1080, Rua Coronel Moreira Cesar - Icaraí - Niterói - Rio de Janeiro , 270 m² construídos | 5 quartos ,2.990.000
1081, Vila Alto de Santo André - Santo André - São Paulo , 275 m² construídos | 3 quartos ,690.000
1082, Praia Grande - São Paulo , 80 m² construídos | 3 quartos ,290.000
1083, Park Imperial - Park Imperial - Caraguatatuba - São Paulo , 360 m² construídos | 4 quartos ,1.300.000
1084," Avenida Monteiro Lobato, Balneário Flórida Mirim Mongaguá / SP 12490 - Balneario Flórida Mirim - Mongaguá - São Paulo ", 50 m² construídos | 2 quartos ,155.000
1085, Itupiranga 404 - Saúde - São Paulo Zona Sul - São Paulo , 60 m² construídos | 2 quartos ,1.300
1086, Vila Nossa Senhora De Fatima - São Vicente - São Paulo , 100 m² totais | 3 quartos ,270.000
1087," Casa 2 qtos, suite, 3 gar etc bom local próx praia R$ 240000 - Vila Caicara - Praia Grande - São Paulo ", 76 m² construídos | 2 quartos ,240.000
1088, RUA HENRIQUE ROCHA BLOCH - Vila Alati - Jundiaí - São Paulo , 79 m² construídos | 2 quartos ,355.000
1089, Rodovia AL-101 Norte - Jacarecica - Maceió - Alagoas , 700 m² construídos | 4 quartos ,3.000.000
1090, PRAIA GRANDE 2020 - Vila Caicara - Praia Grande - São Paulo , 157 m² construídos | 3 quartos ,690.000
1091, São João do Rio Vermelho - Florianópolis - Santa Catarina , 62 m² construídos | 2 quartos ,129.000
1092, Rua Dendezeiro - Jardim Matarazzo - São Paulo Zona Leste - São Paulo , 60 m² construídos | 2 quartos ,250.000
1093, Residencial Floresta São Vicente - Bragança Paulista - São Paulo , 225 m² construídos | 3 quartos ,750.000
1094, Av presidente Kennedy 12805 - Vila Caicara - Praia Grande - São Paulo , 43 m² construídos | 1 quarto ,130.000
1095, Centro - Santana de Parnaíba - São Paulo , 113 m² construídos | 2 quartos ,450.000
1096, Vila Milton - Guarulhos - São Paulo , 395 m² construídos | 3 quartos ,1.200.000
1097, Avenida Yojiro Takaoka - Alphaville - Santana de Parnaíba - São Paulo , 650 m² construídos | 4 quartos ,5.500.000
1098, Itanhaém - São Paulo , 67 m² construídos | 2 quartos ,195.000
1099, Jardim Álamo - Guarulhos - São Paulo , 80 m² construídos | 1 quarto ,190.000
1100, Escritório Imobiliário Roberto Lorenzato 115 - Estancia Balnearia Convento Velho - Peruíbe - São Paulo , 222 m² construídos | 5 quartos ,970.000
1101, RUA JOÃO PESSOA - Santo Antônio - Joinville - Santa Catarina , 320 m² construídos | 4 quartos ,1.300.000
1102, Alameda Terras Altas - Tamboré - Santana de Parnaíba - São Paulo , 900 m² construídos | 5 quartos ,6.000.000
1103, Alameda das Rosas 408 - Alphaville - Santana de Parnaíba - São Paulo , 400 m² construídos | 5 quartos ,1.790.000
1104, Rua Filomena Blois Rizzo - Parque dos Príncipes - São Paulo Zona Oeste - São Paulo , 266 m² construídos | 3 quartos ,1.490.000
1105, marginal dois 11464 - Jardim Califórnia - Itanhaém - São Paulo , 65 m² construídos | 2 quartos ,140.000
1106, Alameda Turquesa - Pousada Dos Bandeirantes - Carapicuíba - São Paulo , 555 m² construídos | 3 quartos ,3.200.000
1107, São Vicente - São Paulo , 95 m² construídos | 3 quartos ,280.000
1108, (Consulte a imobiliária) - Boa Vista - Londrina - Paraná , 400 m² construídos ,1.145.585.651
1109, Jardim Santa Cecília - Guarulhos - São Paulo , 190 m² construídos | 3 quartos ,349.000
1110," Rua 02, Quadra M 01 - Unamar - Cabo Frio - Rio de Janeiro ", 62 m² construídos | 2 quartos ,210.000
1111, Rua Caminho do Meio - Canela - Rio Grande do Sul , 350 m² construídos | 3 quartos ,2.850.000
1112, Rua dos Eucaliptos (P Ipês III) - Cajamar - São Paulo , 79 m² construídos | 2 quartos ,388.000
1113, Rua orlando randi 155 - Jardim Santa Mena - Guarulhos - São Paulo , 300 m² construídos | 6 quartos ,1.150.000
1114, Búzios - Rio de Janeiro , 160 m² construídos | 4 quartos ,1.260.000
1115, Rua Simão Machado - Tucuruvi - São Paulo Zona Norte - São Paulo , 230 m² construídos | 3 quartos ,1.350.000
1116, Rua Bruno Trevisan - Jardim Tannus - Jundiaí - São Paulo , 220 m² construídos | 3 quartos ,710.000
1117, Alameda Terras Altas - Tamboré - Santana de Parnaíba - São Paulo , 650 m² construídos | 4 quartos ,4.200.000
1118," Rua Joao Alves Pedroso, 815 - Conceição - Osasco - São Paulo ", 64 m² construídos | 2 quartos ,199.000
1119, Real Park - Sumaré/SP - Residencial Real Parque Sumaré - Sumaré - São Paulo , 250 m² construídos | 3 quartos ,845.000
1120, Jardim Torres São Jose - Jundiaí - São Paulo , 290 m² construídos | 4 quartos ,680.000
1121, Rua Professor Mário De Almeida Pires 548 - Jardim Virgínia - Guarujá - São Paulo , 220 m² construídos | 5 quartos ,650.000
1122, Rua do Comércio 25 - Cupim - Ibiúna - São Paulo , 250 ha construídos | 4 quartos ,345.000
1123, Iuriy Ivanoff (11) 9 7095-5858 - Ref 1619 - Centro - Boituva - São Paulo , 220 m² construídos | 2 quartos ,395.000
1124, Benedito Castilho de Andrade 877 - Parque Eloy Chaves - Parque Residencial Eloy Chaves - Jundiaí - São Paulo , 270 m² construídos | 3 quartos ,865.000
1125, Travessa Princesa Isabel - Santa Catarina - São Gonçalo - Rio de Janeiro , 250 m² construídos | 4 quartos ,420.000
1126, Rua Nhandeara - Vila Carrão - São Paulo Zona Leste - São Paulo , 119 m² construídos | 2 quartos ,1.220.000
1127, Do Manifesto 1786 - Ipiranga - São Paulo Zona Sul - São Paulo , 30 m² construídos | 1 quarto ,1.100
1128, Casa Isolada 2 qtos+edíc c/1 qto/wc/coz 8 gar espç piscina R$ 350000 - Jardim Real - Praia Grande - São Paulo , 110 m² construídos | 2 quartos ,350.000
1129, Sertanista Francisco Meirelles 412 - Vila Tupi - Praia Grande - São Paulo , 80 m² construídos | 2 quartos ,240.000
1130, Itaquera - São Paulo Zona Leste - São Paulo , 100 m² construídos | 1 quarto ,420.000
1131, rua valeria LT 07 qd 12 358 - Parque Barão Do Amapá - Duque de Caxias - Rio de Janeiro , 160 m² construídos | 3 quartos ,200.000
1132, Fernando Nobre 1777 - Chácara Rincão - Cotia - São Paulo , 146 m² construídos | 4 quartos ,980.000
1133, Avenida Santo Amaro - Santo Amaro - São Paulo Zona Sul - São Paulo , 386 m² construídos ,20.000
1134," Rua 6 - (Cj Vila Santo Sátiro), Acaracuzinho, Maracanaú - CE - 100 - Acaracuzinho - Maracanaú - Ceará ", 398 m² construídos | 2 quartos ,330
1135, rua das pacas 2204 - Unamar - Cabo Frio - Rio de Janeiro , 54 m² construídos | 2 quartos ,85.000
1136, Condomínio Reservatto Residenziale - Engordadouro - Jundiaí - São Paulo , 133 m² construídos | 3 quartos ,700.000
1137, Jardim Ângelo - Arujá - São Paulo , 250 m² construídos | 3 quartos ,640.000
1138, ARUA BRISAS - Mogi das Cruzes - São Paulo , 177 m² construídos | 3 quartos ,890.000
1139, Penha De Franca - São Paulo Zona Leste - São Paulo , 224 m² construídos | 3 quartos ,855.000
1140, Rua Glaura - São Paulo Zona Leste - São Paulo , 140 m² construídos | 2 quartos ,380.000
1141, Escritório Imobiliário Roberto Lorenzato 115 - Belmira Novães - Peruíbe - São Paulo , 77 m² construídos | 2 quartos ,200.000
1142, Condomínio Portal da Primavera - Jardim Portal Da Primavera - Sorocaba - São Paulo , 274 m² construídos | 3 quartos ,990.000
1143," Casa 2 qtos, suite, 2 gar próx praia R$ 215000 - Vila Caicara - Praia Grande - São Paulo ", 70 m² construídos | 2 quartos ,225.000
1144, Juquitiba - São Paulo , 51000 m² totais | 3 quartos ,500.000
1145, Arujá - São Paulo , 240 m² construídos | 4 quartos ,950.000
1146, Rua Desembargador José Mauro Bourrol Ribeiro - Parque dos Príncipes - São Paulo Zona Oeste - São Paulo , 175 m² construídos | 3 quartos ,790.000
1147, Vila Campesina - Osasco - São Paulo , 198 m² construídos | 3 quartos ,985.000
1148, Rua Da Boiada (Vinhas da Vista Alegre) - Vista Alegre - Vinhedo - São Paulo , 379 m² construídos | 4 quartos ,1.280.000
1149, Itanhaém - São Paulo , 198 m² construídos | 2 quartos ,460.000
1150, Marquês de Maricá 482 - Sacomã - São Paulo Zona Sul - São Paulo , 60 m² construídos | 1 quarto ,1.200
1151, Itanhaém - São Paulo , 2 quartos ,255.000
1152," Km 68 da Castelo Branco,próximo ao Shopping Catarina outlet 00 - Dona Catarina - Mairinque - São Paulo ", 1250 m² construídos | 4 quartos ,160.000
1153, Casa 2 qtos suite + edícula+lazer próx mercd e praia $ 280000 - Mirim - Praia Grande - São Paulo , 75 m² construídos | 3 quartos ,280.000
1154, Jardim São Lourenço - Bertioga - São Paulo , 275 m² totais | 4 quartos ,950.000
1155, Cidade Vista Verde - São José dos Campos - São Paulo , 111 m² construídos | 2 quartos ,370.000
1156, Prefeito Jurandir da Silva Melo 680 - Boqueirao - Saquarema - Rio de Janeiro , 135 m² construídos | 3 quartos ,340.000
1157, R CARAMURU - Saúde - São Paulo Zona Sul - São Paulo , 56 m² construídos | 2 quartos ,697.000
1158, Vila Camilópolis - Santo André - São Paulo , 150 m² construídos | 3 quartos ,550.000
1159, Avenida St Remy de Provence - Tamboré - Santana de Parnaíba - São Paulo , 373 m² construídos | 4 quartos ,2.400.000
1160, Jardim Eucalíptos - Sorocaba - São Paulo , 55 m² construídos | 2 quartos ,150.000
1161, Rua dos Faisões - Independência - São Bernardo do Campo - São Paulo , 688 m² totais | 4 quartos ,1.700.000
1162, Amaravati 231 - Conjunto City Jaraguá - São Paulo Zona Norte - São Paulo , 125 m² construídos | 2 quartos ,175.000
1163, Avenida Monteiro Lobato - Jardim Indaiá - Embu das Artes - São Paulo , 312 m² construídos | 4 quartos ,1.400.000
1164, Estrada Recanto da Jandáia - Vargem Grande Paulista - São Paulo , 87 m² construídos | 3 quartos ,355.000
1165, Rua Cláudio Xavier - Jardim de Lorenzo - São Paulo Zona Leste - São Paulo , 100 m² construídos | 2 quartos ,275.000
1166, Código 4501G 0 - Bopiranga - Itanhaém - São Paulo , 60 m² construídos | 2 quartos ,75.000
1167, Rua Padre José de Anchieta - Mongaguá - São Paulo , 112 m² construídos | 3 quartos ,350.000
